City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Englehart,CA,47.8169,-79.8664,16.36,73,100,10.36,overcast clouds
80,Torbay,CA,47.6666,-52.7314,38.57,92,100,10.36,overcast clouds
81,Asfi,MA,32.2994,-9.2372,59.45,80,8,8.25,clear sky
82,Trofors,NO,65.5333,13.4063,22.87,94,27,7.67,scattered clouds
83,Castro,BR,-24.7911,-50.0119,55.45,97,100,6.78,moderate rain
84,Berlevag,NO,70.8578,29.0864,26.55,86,100,11.5,overcast clouds
85,Sivas,TR,39.7916,37.0019,32.63,100,75,16.11,broken clouds
86,Erode,IN,11.35,77.7333,68.85,86,11,3.44,few clouds
87,Touros,BR,-5.1989,-35.4608,79.2,77,9,11.72,clear sky
88,Coquimbo,CL,-29.9533,-71.3436,65.93,77,20,10.36,few clouds
89,Paralimni,CY,35.0375,33.9833,55.15,75,0,7.0,clear sky
90,Hampton,US,37.0299,-76.3452,70.05,87,20,13.8,mist
91,Port Elizabeth,ZA,-33.918,25.5701,63.32,95,20,9.22,light rain
92,Havelock,US,34.8791,-76.9013,64.4,88,75,11.5,broken clouds
93,Kutum,SD,14.2,24.6667,54.84,34,18,8.63,few clouds
94,Salalah,OM,17.0151,54.0924,75.29,69,20,2.3,few clouds
95,Bucak,TR,37.4592,30.595,25.32,41,2,6.64,clear sky
96,Clyde River,CA,70.4692,-68.5914,-16.37,69,100,12.66,overcast clouds
97,Bengkulu,ID,-3.8004,102.2655,74.77,88,97,4.59,overcast clouds
98,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,100,75,5.75,mist
99,Yangambi,CD,0.8102,24.4336,70.92,73,19,1.68,few clouds
100,Amapa,BR,1.0,-52.0,70.97,99,88,2.51,overcast clouds
101,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.87,95,72,3.11,broken clouds
102,Grand Gaube,MU,-20.0064,57.6608,77.38,74,25,3.0,light rain
103,Nanortalik,GL,60.1432,-45.2371,23.56,73,100,19.77,overcast clouds
104,Belmopan,BZ,17.25,-88.7667,88.18,89,5,2.86,clear sky
105,Punta Arenas,CL,-53.15,-70.9167,53.11,81,75,8.05,light rain
106,Ferkessedougou,CI,9.6,-5.2,72.16,18,42,5.37,scattered clouds
107,Chabahar,IR,25.2919,60.643,67.1,29,57,6.98,broken clouds
108,Thinadhoo,MV,0.5333,72.9333,79.9,67,45,8.72,scattered clouds
109,Chacabuco,AR,-34.6417,-60.4739,77.99,24,0,6.8,clear sky
110,Quatre Cocos,MU,-20.2078,57.7625,77.09,77,54,12.21,light rain
111,Rumboci,BA,43.8322,17.5011,40.46,82,35,3.4,scattered clouds
112,Policoro,IT,40.2115,16.6726,49.98,91,85,5.44,overcast clouds
113,Iqaluit,CA,63.7506,-68.5145,-11.47,77,100,33.38,light snow
114,Pangody,RU,65.85,74.4859,-2.4,97,100,15.95,light snow
115,Pobe,BJ,6.9801,2.6649,70.5,68,90,1.03,overcast clouds
116,Saint George,US,37.1041,-113.5841,46.44,78,100,3.0,overcast clouds
117,Santo Antonio Do Monte,BR,-20.0872,-45.2936,66.43,91,87,3.36,overcast clouds
118,Jasidih,IN,24.5167,86.65,47.39,62,0,7.07,clear sky
119,Pervomayskoye,RU,43.919,46.7102,44.87,76,100,7.9,overcast clouds
120,Chinchani,IN,19.8667,72.7,69.44,53,0,5.79,clear sky
121,Manaure,CO,11.7751,-72.4445,78.69,70,46,17.96,scattered clouds
122,Mahebourg,MU,-20.4081,57.7,77.25,88,75,3.44,light rain
123,Syamzha,RU,60.0158,41.0614,-2.74,97,100,6.35,overcast clouds
124,Vestmanna,FO,62.1564,-7.1664,32.92,86,75,0.0,broken clouds
125,Cidreira,BR,-30.1811,-50.2056,71.02,80,0,12.44,clear sky
126,Siniscola,IT,40.5719,9.6922,51.35,88,2,4.63,clear sky
127,Beyla,GN,8.6833,-8.6333,67.8,23,2,3.62,clear sky
128,Thompson,CA,55.7435,-97.8558,10.56,92,75,4.61,broken clouds
129,Samandag,TR,36.0842,35.9771,32.52,65,1,3.89,clear sky
130,Mahon,ES,39.8885,4.2658,48.76,87,0,4.61,clear sky
